date,buffett_index
1989-01-03,493047690.95546025
1989-01-04,499167226.77127063
1989-01-05,500489136.4860386
1989-01-06,501906483.58882815
1989-01-09,502382480.7262781
1989-01-10,501322681.1885081
1989-01-11,503426505.573401
1989-01-12,505154704.7068851
1989-01-13,505982591.44343436
1989-01-16,506150261.5223141
1989-01-17,505072967.26256067
1989-01-18,509716981.0205874
1989-01-19,510653069.26421046
1989-01-20,510508038.99496734
1989-01-23,507230364.15418917
1989-01-24,512516744.4712838
1989-01-25,513492648.27702856
1989-01-26,517379731.53579646
1989-01-27,520960011.12490886
1989-01-30,522447853.4301878
1989-01-31,526107384.34780824
1989-02-01,525917568.1338762
1989-02-02,526059576.4339856
1989-02-03,526522264.9200114
1989-02-06,525470903.79361737
1989-02-07,530768843.14877874
1989-02-08,529604159.7997375
1989-02-09,525034320.9414846
1989-02-10,519163678.9310189
1989-02-13,518833187.8959631
1989-02-14,518174403.660734
1989-02-15,521816633.8535163
1989-02-16,522825584.34314656
1989-02-17,525631186.0784225
1989-02-21,523979660.247317
1989-02-22,516578838.7918591
1989-02-23,518020229.2551681
1989-02-24,510871877.5447669
1989-02-27,511125555.46716166
1989-02-28,512516653.98288774
1989-03-01,510385701.07471395
1989-03-02,514863045.37556785
1989-03-03,516865190.938124
1989-03-06,521697778.0553149
1989-03-07,520673949.1209442
1989-03-08,521074031.97594833
1989-03-09,520752499.6429185
1989-03-10,519058499.6628615
1989-03-13,522176879.777242
1989-03-14,521687337.87388855
1989-03-15,523776188.4876821
1989-03-16,527883993.0086259
1989-03-17,517346283.9734893
1989-03-20,512306673.2859949
1989-03-21,514234565.87627614
1989-03-22,513010238.6054725
1989-03-23,510694006.6875549
1989-03-27,512347962.48246014
1989-03-28,513927199.94994986
1989-03-29,515127692.85426974
1989-03-30,515630703.4842888
1989-03-31,519512408.1906785
1989-04-03,521374636.9414665
1989-04-04,520121807.59245765
1989-04-05,521567252.05365235
1989-04-06,520225840.38472295
1989-04-07,522918544.4535472
1989-04-10,522932534.30718994
1989-04-11,525260265.21367186
1989-04-12,526130356.8930059
1989-04-13,522424348.3627057
1989-04-14,529265336.4442239
1989-04-17,529527506.54628813
1989-04-18,535648904.23498243
1989-04-19,537271146.7123994
1989-04-20,536269079.6624301
1989-04-21,540938290.096984
1989-04-24,539461226.9412522
1989-04-25,536860202.6419823
1989-04-26,537404907.3630506
1989-04-27,541356206.0095192
1989-04-28,541631978.5294545
1989-05-01,540823106.847657
1989-05-02,539659154.8813345
1989-05-03,539725874.5852581
1989-05-04,539393790.1390675
1989-05-05,539348918.3610656
1989-05-08,536621660.90938413
1989-05-09,535165841.13581717
1989-05-10,536093902.2904795
1989-05-11,537699628.949568
1989-05-12,547390221.1324949
1989-05-15,550254141.2675128
1989-05-16,549494383.7012337
1989-05-17,552870079.5258825
1989-05-18,553945689.620053
1989-05-19,558594016.9298143
1989-05-22,559140595.2077087
1989-05-23,554337091.4307669
1989-05-24,555416678.3359752
1989-05-25,555743387.9801751
1989-05-26,559559652.7183799
1989-05-30,555900003.3923068
1989-05-31,558107519.5439683
1989-06-01,560455323.2617471
1989-06-02,566018094.7936778
1989-06-05,560981337.8096215
1989-06-06,563815212.0933865
1989-06-07,567850212.7805955
1989-06-08,568769569.7745125
1989-06-09,568426918.8717217
1989-06-12,567511291.0094712
1989-06-13,563673365.8575369
1989-06-14,563268562.4961654
1989-06-15,557392533.2102678
1989-06-16,558749139.951603
1989-06-19,558760096.1138752
1989-06-20,557746145.5119952
1989-06-21,556737898.3798125
1989-06-22,559165981.7497675
1989-06-23,566964236.350447
1989-06-26,564824465.2212445
1989-06-27,567730718.0789592
1989-06-28,563742172.0070331
1989-06-29,554224037.9500188
1989-06-30,550903328.4520679
1989-07-03,552401343.7798272
1989-07-05,554246867.8232391
1989-07-06,556078412.5443492
1989-07-07,561354191.3134927
1989-07-10,564288032.6755341
1989-07-11,566910476.9292166
1989-07-12,568774579.8301013
1989-07-13,569464976.9661577
1989-07-14,571533512.7784369
1989-07-17,572525704.9148972
1989-07-18,571211703.3004508
1989-07-19,577464752.9096414
1989-07-20,574343521.3933623
1989-07-21,576925299.8119918
1989-07-24,573022309.4559249
1989-07-25,573397849.405188
1989-07-26,579276731.8871317
1989-07-27,585280398.6543963
1989-07-28,585586080.005031
1989-07-31,591304250.1760906
1989-08-01,588232327.00335
1989-08-02,589386472.7852846
1989-08-03,590809885.4090166
1989-08-04,589683262.9066503
1989-08-07,596951933.9642638
1989-08-08,597444903.2065675
1989-08-09,594673843.8314388
1989-08-10,596963144.9108607
1989-08-11,592174704.4253874
1989-08-14,589290332.7989292
1989-08-15,591154410.9643339
1989-08-16,592666678.0044472
1989-08-17,590538098.2385691
1989-08-18,592574354.9551854
1989-08-21,584815589.9762912
1989-08-22,585173005.3989449
1989-08-23,590031721.2135469
1989-08-24,599950867.5855638
1989-08-25,598773123.2083281
1989-08-28,600645426.8681618
1989-08-29,597903822.243707
1989-08-30,599289351.1335808
1989-08-31,600547155.2885653
1989-09-01,603499162.7843302
1989-09-05,602107258.844855
1989-09-06,597391321.7152609
1989-09-07,596265941.31553
1989-09-08,596903972.2164937
1989-09-11,594781414.4871361
1989-09-12,596686774.3110142
1989-09-13,592593566.5803518
1989-09-14,588382744.2605973
1989-09-15,589571934.1259627
1989-09-18,591287436.6033361
1989-09-19,591224987.5142481
1989-09-20,591103395.9303588
1989-09-21,590506293.2528396
1989-09-22,592189042.2254612
1989-09-25,588163870.2537681
1989-09-26,588690287.9905902
1989-09-27,589684882.6759646
1989-09-28,594771315.5515642
1989-09-29,596363620.6188573
1989-10-02,598917166.0964832
1989-10-03,604450481.0802457
1989-10-04,607605887.8098559
1989-10-05,607857067.6652431
1989-10-06,610636233.1836224
1989-10-09,611888385.461542
1989-10-10,610627641.7782922
1989-10-11,607086967.7230337
1989-10-12,604748970.3277487
1989-10-13,571697765.3901049
1989-10-16,581549603.7829694
1989-10-17,578756708.1847117
1989-10-18,579921267.1831224
1989-10-19,588471767.9421883
1989-10-20,588147132.0773802
1989-10-23,584076402.671685
1989-10-24,580683508.8215915
1989-10-25,579437572.8238343
1989-10-26,572279332.8916502
1989-10-27,567156572.9236943
1989-10-30,566197264.4098132
1989-10-31,573608619.1672745
1989-11-01,575124817.136167
1989-11-02,571463818.5690769
1989-11-03,570249059.7662743
1989-11-06,562540677.9949979
1989-11-07,564873618.119772
1989-11-08,569957208.0112263
1989-11-09,568180805.8157355
1989-11-10,571418511.0385916
1989-11-13,571929195.0232513
1989-11-14,569739237.381679
1989-11-15,572842104.7293928
1989-11-16,572523781.3597468
1989-11-17,574048253.032821
1989-11-20,570534649.3301951
1989-11-21,570222465.785154
1989-11-22,573148260.2971876
1989-11-24,575846621.6384484
1989-11-27,577764360.3416126
1989-11-28,578229860.7170706
1989-11-29,575006209.446747
1989-11-30,577657521.7446796
1989-12-01,583682247.6099205
1989-12-04,584397992.9291838
1989-12-05,581987508.5004815
1989-12-06,581114836.5963264
1989-12-07,579657012.9245263
1989-12-08,580714937.2117057
1989-12-11,579335002.2212831
1989-12-12,583024878.4259294
1989-12-13,583986711.3797531
1989-12-14,580724998.6897507
1989-12-15,578829005.4699043
1989-12-18,568650980.4009287
1989-12-19,566109136.4042641
1989-12-20,566563477.0754262
1989-12-21,569513108.4192197
1989-12-22,573689844.1247435
1989-12-26,572748056.4502797
1989-12-27,575625558.2657202
1989-12-28,578003854.6426814
1989-12-29,582650224.6468264
1990-01-02,590634321.1992034
1990-01-03,590251109.0493498
1990-01-04,586224459.7971961
1990-01-05,581622555.6287019
1990-01-08,582882479.3105273
1990-01-09,577312805.3768271
1990-01-10,572870804.7927217
1990-01-11,574174387.3371749
1990-01-12,560953092.3708111
1990-01-15,555867203.0120254
1990-01-16,560067421.8684113
1990-01-17,556158545.3382424
1990-01-18,556353318.0963675
1990-01-19,557877304.7246788
1990-01-22,545097548.1634654
1990-01-23,545567494.0446987
1990-01-24,541161980.1314318
1990-01-25,536457984.6281607
1990-01-26,534536677.3251783
1990-01-29,532270906.43757516
1990-01-30,527563686.1171073
1990-01-31,535988120.3949508
1990-02-01,536411600.5588953
1990-02-02,540266506.3666817
1990-02-05,542112059.2805141
1990-02-06,539439633.0250568
1990-02-07,544692412.6315242
1990-02-08,544360764.616194
1990-02-09,545445322.0346297
1990-02-12,540143243.8654622
1990-02-13,540762954.0111088
1990-02-14,541715503.6660228
1990-02-15,546004240.8512652
1990-02-16,543420124.133682
1990-02-20,536185476.4579286
1990-02-21,534834538.59137535
