date,MarketCap
1989-01-03,2718590087890.625
1989-01-04,2752979980468.75
1989-01-05,2760919921875.0
1989-01-06,2769389892578.125
1989-01-09,2773320068359.375
1989-01-10,2768120117187.5
1989-01-11,2780389892578.125
1989-01-12,2790590087890.625
1989-01-13,2795820068359.375
1989-01-16,2798060058593.75
1989-01-17,2792760009765.625
1989-01-18,2819100097656.25
1989-01-19,2824939941406.25
1989-01-20,2824800048828.125
1989-01-23,2807979980468.75
1989-01-24,2837909912109.375
1989-01-25,2843979980468.75
1989-01-26,2866179931640.625
1989-01-27,2886689941406.25
1989-01-30,2896290039062.5
1989-01-31,2917260009765.625
1989-02-01,2916889892578.125
1989-02-02,2918360107421.875
1989-02-03,2921610107421.875
1989-02-06,2917139892578.125
1989-02-07,2947239990234.375
1989-02-08,2941459960937.5
1989-02-09,2916760009765.625
1989-02-10,2884820068359.375
1989-02-13,2884330078125.0
1989-02-14,2881340087890.625
1989-02-15,2902270019531.25
1989-02-16,2908560058593.75
1989-02-17,2924850097656.25
1989-02-21,2917699951171.875
1989-02-22,2877159912109.375
1989-02-23,2885860107421.875
1989-02-24,2846699951171.875
1989-02-27,2849439941406.25
1989-02-28,2857860107421.875
1989-03-01,2846639892578.125
1989-03-02,2872280029296.875
1989-03-03,2884120117187.5
1989-03-06,2912439941406.25
1989-03-07,2907399902343.75
1989-03-08,2910310058593.75
1989-03-09,2909189941406.25
1989-03-10,2900399902343.75
1989-03-13,2919179931640.625
1989-03-14,2917120117187.5
1989-03-15,2929479980468.75
1989-03-16,2953139892578.125
1989-03-17,2894860107421.875
1989-03-20,2867989990234.375
1989-03-21,2879449951171.875
1989-03-22,2873260009765.625
1989-03-23,2860949951171.875
1989-03-27,2872209960937.5
1989-03-28,2881729980468.75
1989-03-29,2889129882812.5
1989-03-30,2892620117187.5
1989-03-31,2915070068359.375
1989-04-03,2926750000000.0
1989-04-04,2920270019531.25
1989-04-05,2928939941406.25
1989-04-06,2921959960937.5
1989-04-07,2937639892578.125
1989-04-10,2938830078125.0
1989-04-11,2952469970703.125
1989-04-12,2957919921875.0
1989-04-13,2937639892578.125
1989-04-14,2976669921875.0
1989-04-17,2979270019531.25
1989-04-18,3014280029296.875
1989-04-19,3023979980468.75
1989-04-20,3018909912109.375
1989-04-21,3045770019531.25
1989-04-24,3038600097656.25
1989-04-25,3024520019531.25
1989-04-26,3028159912109.375
1989-04-27,3051000000000.0
1989-04-28,3053129882812.5
1989-05-01,3049719970703.125
1989-05-02,3043729980468.75
1989-05-03,3044679931640.625
1989-05-04,3043379882812.5
1989-05-05,3043699951171.875
1989-05-08,3029449951171.875
1989-05-09,3021800048828.125
1989-05-10,3027610107421.875
1989-05-11,3037250000000.0
1989-05-12,3092570068359.375
1989-05-15,3109919921875.0
1989-05-16,3106209960937.5
1989-05-17,3125879882812.5
1989-05-18,3132550048828.125
1989-05-19,3159429931640.625
1989-05-22,3163709960937.5
1989-05-23,3137120117187.5
1989-05-24,3143820068359.375
1989-05-25,3146260009765.625
1989-05-26,3168459960937.5
1989-05-30,3149510009765.625
1989-05-31,3162610107421.875
1989-06-01,3176510009765.625
1989-06-02,3208639892578.125
1989-06-05,3181280029296.875
1989-06-06,3197949951171.875
1989-06-07,3221439941406.25
1989-06-08,3227260009765.625
1989-06-09,3225919921875.0
1989-06-12,3221929931640.625
1989-06-13,3200739990234.375
1989-06-14,3199040039062.5
1989-06-15,3166260009765.625
1989-06-16,3174560058593.75
1989-06-19,3175810058593.75
1989-06-20,3170639892578.125
1989-06-21,3165500000000.0
1989-06-22,3179899902343.75
1989-06-23,3224850097656.25
1989-06-26,3213879882812.5
1989-06-27,3231020019531.25
1989-06-28,3208919921875.0
1989-06-29,3155330078125.0
1989-06-30,3137010009765.625
1989-07-03,3146489990234.375
1989-07-05,3157729980468.75
1989-07-06,3168530029296.875
1989-07-07,3198959960937.5
1989-07-10,3216419921875.0
1989-07-11,3231739990234.375
1989-07-12,3242739990234.375
1989-07-13,3247050048828.125
1989-07-14,3259219970703.125
1989-07-17,3265629882812.5
1989-07-18,3258510009765.625
1989-07-19,3294560058593.75
1989-07-20,3277129882812.5
1989-07-21,3292239990234.375
1989-07-24,3270719970703.125
1989-07-25,3273239990234.375
1989-07-26,3307179931640.625
1989-07-27,3341840087890.625
1989-07-28,3343969970703.125
1989-07-31,3377399902343.75
1989-08-01,3360239990234.375
1989-08-02,3367219970703.125
1989-08-03,3375739990234.375
1989-08-04,3369689941406.25
1989-08-07,3412010009765.625
1989-08-08,3415219970703.125
1989-08-09,3399770019531.25
1989-08-10,3413250000000.0
1989-08-11,3386260009765.625
1989-08-14,3370540039062.5
1989-08-15,3381590087890.625
1989-08-16,3390629882812.5
1989-08-17,3378840087890.625
1989-08-18,3390879882812.5
1989-08-21,3347250000000.0
1989-08-22,3349679931640.625
1989-08-23,3377879882812.5
1989-08-24,3435060058593.75
1989-08-25,3428709960937.5
1989-08-28,3440219970703.125
1989-08-29,3424909912109.375
1989-08-30,3433239990234.375
1989-08-31,3440840087890.625
1989-09-01,3458149902343.75
1989-09-05,3451360107421.875
1989-09-06,3424719970703.125
1989-09-07,3418659912109.375
